date,revenue_forecast
2025-10-31,248.59856558773723
2025-11-01,70.03431595152962
2025-11-02,200.638163396398
2025-11-03,272.45159519003454
2025-11-04,98.1250842551435
2025-11-05,35.37384975559683
2025-11-06,0.0
2025-11-07,34.1221993532506
2025-11-08,13.31640191051985
2025-11-09,11.716975914432059
2025-11-10,0.0
2025-11-11,0.0
2025-11-12,0.0
2025-11-13,84.21590276636228
2025-11-14,51.34307785769119
2025-11-15,97.91652725229258
2025-11-16,83.0401681917173
2025-11-17,5.4554335883284475
2025-11-18,13.82855992964955
2025-11-19,131.53254099755642
2025-11-20,90.11562953232396
2025-11-21,99.30548630414764
2025-11-22,111.47932564336371
2025-11-23,43.263926883109576
2025-11-24,62.603212271353584
2025-11-25,68.35949508959679
2025-11-26,124.01888451649153
2025-11-27,22.159087390401993
2025-11-28,30.28519393553112
2025-11-29,173.06229339289956
2025-11-30,181.53709673454844
2025-12-01,65.61836903578846
2025-12-02,44.78757518059887
2025-12-03,193.3475368790822
2025-12-04,253.3156867146081
2025-12-05,168.87826165740918
2025-12-06,125.07554273680728
2025-12-07,172.22237111166055
2025-12-08,174.79070535189123
2025-12-09,123.26837957203678
2025-12-10,126.62177301497987
2025-12-11,133.65624021791177
2025-12-12,107.98587033633896
2025-12-13,124.86108044653726
2025-12-14,119.1899774206922
2025-12-15,89.21275964062016
2025-12-16,57.28098415057934
2025-12-17,21.161751753902404
2025-12-18,37.05932860395704
2025-12-19,88.99695102691625
2025-12-20,115.24726740713207
2025-12-21,116.66198999713731
2025-12-22,138.496057873283
2025-12-23,103.37243958494604
2025-12-24,138.02747284850614
2025-12-25,156.19316172040243
2025-12-26,213.77301878892294
2025-12-27,153.42078984473554
2025-12-28,119.84363261819459
2025-12-29,62.922892493667874
2025-12-30,90.49965596811634
2025-12-31,62.515256466476885
2026-01-01,142.46369282275646
2026-01-02,64.40062878495442
2026-01-03,165.2693775219889
2026-01-04,138.67341467692017
2026-01-05,65.19426184815462
2026-01-06,108.159748363216
2026-01-07,88.00464094158079
2026-01-08,130.8548445009779
2026-01-09,140.2350011886912
2026-01-10,173.0490019624862
2026-01-11,82.9773765052706
2026-01-12,58.1817697602081
2026-01-13,82.68450959705886
2026-01-14,94.13899449450962
2026-01-15,115.85586018143547
2026-01-16,95.4590330558861
2026-01-17,106.50590983194499
2026-01-18,87.22904066823762
2026-01-19,88.4432102434087
2026-01-20,114.90198008327337
2026-01-21,102.50560378932559
2026-01-22,116.02360574963234
2026-01-23,63.67816115699648
2026-01-24,123.73900147132294
2026-01-25,106.20846672916319
2026-01-26,318.9194482832333
2026-01-27,168.76561113386202
2026-01-28,168.01509239978563
